Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Machine learning -based decision support framework for CBRN protection,"Kegyes, Tamas; Sule, Zoltan; Abonyi, Janos",,2024,,,10.0,,,,10.1016/j.heliyon.2024.e25946,,#2715,Kegyes 2024,"Exclusion reason: Non-systematic review paper; Leo Tunkle (2026-01-07 10:29:03)(Screen): They have a mini review embedded in this, so including; Nataly Panczyk (2026-02-03 07:14:39)(Select): Not a systematic review; ",""
A unified creep and fatigue life prediction approach for 316 austenitic stainless steel using machine and deep learning,"Bhardwaj, Harsh Kumar; Shukla, Mukul",,2024,,,47.0,,,,10.1111/ffe.14379,,#2722,Bhardwaj 2024,Exclusion reason: Predictive Maintenance; ,""
An improved method for PWR fuel failure detection using cascade-forward neural network with decision tree,"Dong, Bing; Yang, Kang; Zhang, Wei; Yin, Junlian; Wang, Dezhong",,2022,,,10.0,,,,10.3389/fenrg.2022.851848,,#2730,Dong 2022,"Exclusion reason: Insufficient safety impacts; Nataly Panczyk (2026-01-27 08:44:11)(Select): While nuclear power related, not safety critical (fuel rod failure is expected); ",""
Vibrational spectroscopy for the triage of traumatic brain injury computed tomography priority and hospital admissions,"Theakstone, Ashton G.; Brennan, Paul M.; Ashton, Katherine; Czeiter, Endre; Jenkinson, Michael D.; Syed, Khaja; Reed, Matthew J.; Baker, Matthew J.",,2022,,,39.0,,,,10.1089/neu.2021.0410,,#2738,Theakstone 2022,"Exclusion reason: Insufficient safety impacts; Leo Tunkle (2026-01-08 01:49:36)(Screen): This is an example of AI used for classification for medical triage, so it indirectly affects patient outcomes; Nataly Panczyk (2026-02-06 07:29:37)(Select): this is pretty methods-heavy and used for diagnosis, not treatment or decision-making, despite the title. the main goal here was to reduce the cost of CT scans and a secondary goal was to reduce radiation dose to the patient, neither of which are safety critical; ",""
Utilizing patient data: A tutorial on predicting second cancer with machine learning models,"Sadeghi, Hossein; Seif, Fatemeh; Farahani, Erfan Hatamabadi; Khanmohammadi, Soraya; Nahidinezhad, Shahla",,2024,,,13.0,,,,10.1002/cam4.70231,,#2744,Sadeghi 2024,"Exclusion reason: No AI-based decision making, pure detection; Leo Tunkle (2026-01-08 01:56:04)(Screen): At least based on the abstract, this seems to be ML vs traditional methods resulting in a safety relevant treatment outcome (screening vs no screening); Nataly Panczyk (2026-02-05 11:34:33)(Select): no decision making here, just identification of important factors; ",""
Unifying system health management and automated decision making,"Balaban, Edward; Johnson, Stephen B.; Kochenderfer, Mykel J.",,2019,,,65.0,,,,10.1613/jair.1.11366,,#2763,Balaban 2019,Exclusion reason: Predictive Maintenance; Nataly Panczyk (2026-01-24 04:06:15)(Select): This is mostly about using AI to estimate end of life of components in aerospace applications. Falls into the predictive maintenance/too theoretical category; ,""
Automated defect detection and decision-support in gas turbine blade inspection,"Aust, Jonas; Shankland, Sam; Pons, Dirk; Mukundan, Ramakrishnan; Mitrovic, Antonija",,2021,,,8.0,,,,10.3390/aerospace8020030,,#2764,Aust 2021,"Exclusion reason: Predictive Maintenance; Nataly Panczyk (2026-01-24 04:01:54)(Select): Predictive maintenance tool development
-Uses scans of turbine blades to look for defects and compares ML to senior inspector; ",""
Using artificial intelligence to improve real-time decision-making for high-impact weather,"McGovern, Amy; Elmore, Kimberly L.; Gagne, II, David John; Haupt, Sue Ellen; Karstens, Christopher D.; Lagerquist, Ryan; Smith, Travis; Williams, John K.",,2017,,,98.0,,,,10.1175/BAMS-D-16-0123.1,,#2767,McGovern 2017,"Exclusion reason: No AI-based decision making, pure detection; Leo Tunkle (2026-01-08 02:06:18)(Screen): This appears to be ML v status quo and is definitely safety critical; Nataly Panczyk (2026-02-04 14:02:01)(Select): There isn’t any decision making in this one, so will exclude. kind of falls into the same category as predictive maintenance as well because we can default to whichever predictive model has the more conservative estimate of the severe weather; ",""
Aviation accident and incident forecasting combining occurrence investigation and meteorological data using machine learning,"Caetano, Mauro",,2023,,,27.0,,,,10.3846/aviation.2023.18641,,#2768,Caetano 2023,"Exclusion reason: No AI-based decision making, pure detection; Nataly Panczyk (2026-01-27 10:57:40)(Select): No decision-making, just prediction; ",""
Multicopter fault detection and identification via data-driven statistical learning methods,"Dutta, Airin; McKay, Michael E.; Kopsaftopoulos, Fotis; Gandhi, Farhan",,2022,,,60.0,,,,10.2514/1.J060353,,#2778,Dutta 2022,"Exclusion reason: No AI-based decision making, pure detection; Leo Tunkle (2026-01-07 10:23:43)(Screen): I believe this is knowledge based vs ML, so I'm including; ",""
Framework for offline data-driven aircraft fault diagnosis,"Kraemer, Aline Dahleni; Villani, Emilia",,2024,,,21.0,,,,10.2514/1.I011253,,#2779,Kraemer 2024,"Exclusion reason: Insufficient discussion of failure modes; Leo Tunkle (2026-01-07 10:24:40)(Screen): Seems like ML v ML, but safety relevant; Nataly Panczyk (2026-01-24 07:35:24)(Select): Too limited consideration of safety impacts; ",""
Hybrid learning approach to sensor fault detection with flight test data,"de Silva, Brian M.; Callaham, Jared; Jonker, Jonathan; Goebel, Nicholas; Klemisch, Jennifer; McDonald, Darren; Hicks, Nathan; Kutz, J. Nathan; Brunton, Steven L.; Aravkin, Aleksandr Y.",,2021,,,59.0,,,,10.2514/1.J059943,,#2783,deSilva 2021,"Exclusion reason: Insufficient safety impacts; Leo Tunkle (2026-01-07 10:27:36)(Screen): ML v nothing?; Nataly Panczyk (2026-01-29 12:26:35)(Select): This is cost-savings motivated, not safety risk; ",""
Temporal logic explanations for dynamic decision systems using anchors and Monte Carlo Tree Search,"Chiu, Tzu-Yi; Le Ny, Jerome; David, Jean-Pierre",,2023,,,318.0,,,,10.1016/j.artint.2023.103897,,#2784,Chiu 2023,"Exclusion reason: Insufficient safety impacts; Nataly Panczyk (2026-01-29 02:09:25)(Select): Methods-based paper for model explainability methods (find anchors using MCTS)
Doesn’t have a specific application but uses unmanned aerial vehicles as the use case; ",""
Deep temporal semi-supervised one-class classification for GNSS radio frequency interference detection,"Ivanov, Viktor; Scaramuzza, Maurizio; Wilson, Richard. C.",,2024,,,77.0,,,,10.1017/S0373463324000134,,#2785,Ivanov 2024,"Exclusion reason: No AI-based decision making, pure detection; Leo Tunkle (2026-01-07 10:30:36)(Screen): ML v nothing? Detecting GPS jamming seems important; Nataly Panczyk (2026-02-03 07:00:19)(Select): this is just detection, no decision making so insufficient safety risk; ",""
Stochastic route optimization under dynamic ground risk uncertainties for safe drone delivery operations,"Pang, Bizhao; Hu, Xinting; Dai, Wei; Low, Kin Huat",,2024,,,192.0,,,,10.1016/j.tre.2024.103717,,#2787,Pang 2024,"Exclusion reason: No AI-based decision making, pure detection; Leo Tunkle (2026-01-07 10:32:55)(Screen): I really hope that they mention what normal crash fatality risk is in the paper.; Nataly Panczyk (2026-02-05 05:29:36)(Select): this is heavily focused on optimizing routes and doesn’t actually consider decision-making for in-flight operations; ",""
Classification of moral decision making in autonomous driving: Efficacy of boosting procedures,"Singh, Amandeep; Murzello, Yovela; Pokhrel, Sushil; Samuel, Siby",,2024,,,15.0,,,,10.3390/info15090562,,#2797,Singh 2024,"Exclusion reason: No AI-based decision making, pure detection; Leo Tunkle (2026-01-07 10:41:09)(Screen): Probably should mark no, but the concept and abstract kinda scared me so ¯\_(ツ)_/¯; Nataly Panczyk (2026-02-05 11:57:38)(Select): this was just we tried method x and found it better than method y, with a goal of predicting human decisions in driving scenarios to compare to AV decisions; ",""
Reducing overconfidence predictions in autonomous driving perception,"Melotti, Gledson; Premebida, Cristiano; Bird, Jordan J.; Faria, Diego R.; Goncalves, Nuno",,2022,,,10.0,,,,10.1109/ACCESS.2022.3175195,,#2798,Melotti 2022,"Exclusion reason: Too field-specific; Leo Tunkle (2026-01-09 06:03:37)(Screen): AI v AI, but I think all autonomous driving has to be AI and the topic of overconfidence in predictions might be of interest to you; Nataly Panczyk (2026-02-04 14:10:52)(Select): too methods-specific and doesn’t address UQ, which would be more useful ; ",""
Manchurian artificial intelligence in autonomous vehicles,"Kiss, Gabor",,2020,,,38.0,,,,10.3233/JIFS-179671,,#2813,Kiss 2020,Exclusion reason: Cybersecurity not safety; ,""
The danger of using artificial intelligence in development of autonomous vehicles,"Kiss, Gabor",,2019,,,17.0,,,,10.7906/indecs.17.4.3,,#2815,Kiss 2019,Exclusion reason: Cybersecurity not safety; ,""
A memristive associative learning circuit for fault-tolerant multi-sensor fusion in autonomous vehicles,"Bhardwaj, Kapil; Semenov, Dmitrii; Sotner, Roman; Majumdar, Sayani",,2025,,,,,,,10.1002/aisy.202500215,,#2817,Bhardwaj 2025,"Exclusion reason: No AI-based decision making, pure detection; Nataly Panczyk (2026-01-27 03:03:39)(Select): This study featured circuit design, not AI based decision making. 
Should have been excluded during abstract review; ",""
A deep neural network attack simulation against data storage of autonomous vehicles,"Kim, Insup; Lee, Ganggyu; Lee, Seyoung; Choi, Wonsuk",,2024,,,7.0,,,,10.4271/12-07-02-0008,,#2819,Kim 2024,Exclusion reason: Cybersecurity not safety; ,""
Applying graph neural networks to support decision making on collective intelligent transportation systems,"da Silva, Eduardo Sant'Ana; Pedrini, Helio; dos Santos, Aldri Luiz",,2023,,,20.0,,,,10.1109/TNSM.2023.3257993,,#2821,daSilva 2023,Exclusion reason: Cybersecurity not safety; Leo Tunkle (2026-01-09 06:13:29)(Screen): Interesting use of GNNs to enhance anonymity for a safety application; Nataly Panczyk (2026-01-27 08:26:56)(Select): This falls into the category of security and not safety; ,""
Intermediate judgments and trust in artificial intelligence-supported decision-making,"Humr, Scott; Canan, Mustafa",,2024,,,26.0,,,,10.3390/e26060500,,#2834,Humr 2024,Exclusion reason: Too field-specific; Nataly Panczyk (2026-01-14 03:58:53)(Screen): human factors in ai-supported decision making; Nataly Panczyk (2026-02-03 06:40:46)(Select): too field specific and doesn’t actually show a safety critical scenario; ,""
AI-enabled energy policy for a sustainable future,"Danish, Mir Sayed Shah; Senjyu, Tomonobu",,2023,,,15.0,,,,10.3390/su15097643,,#2852,Danish 2023,"Exclusion reason: Insufficient safety impacts; Leo Tunkle (2026-01-09 06:10:37)(Screen): This seems a little too broad (not a specific technology, but energy policy at large) so I'm inclined to say no since it isn't safety critical. Putting maybe for now in case you indeed want this kind of paper; Nataly Panczyk (2026-01-27 08:25:38)(Select): While climate change is definitely a threat to human health and safety, it’s not direct enough and there’s not enough decision making here to include this paper; ",""
Early response framework for accident detection and prevention through multi-zone fog-cloud collaboration for safety-critical applications,"Mishra, Moumita; Ghosh, Soumya Kanti; Maitra, Bhargab; Buyya, Rajkumar",,2025,,,55.0,,,,10.1002/spe.3439,,#2862,Mishra 2025,"Exclusion reason: Insufficient safety impacts; Nataly Panczyk (2026-02-04 14:20:35)(Select): this seems like a resource utilization strategy paper focused on fog-computing, not really about the AI algorithms themselves or any decision-making; ",""
Digital twin and machine learning for decision support in thermal power plant with combustion engines,"Deon, B.; Cotta, K. P.; Silva, R. F. V.; Batista, C. B.; Justino, G. T.; Freitas, G. C.; Cordeiro, A. M.; Barbosa, A. S.; Loucao Jr, F. L.; Simioni, T.; Morais, A. M.; Medeiros, I. E. A.; Almeida, R. J. S.; Araujo Jr, C. A. A.; Soares, C.; Padoin, N.",,2022,,,253.0,,,,10.1016/j.knosys.2022.109578,,#2866,Deon 2022,Exclusion reason: Predictive Maintenance; ,""
Intelligent control of groundwater in slopes with deep reinforcement learning,"Biniyaz, Aynaz; Azmoon, Behnam; Liu, Zhen",,2022,,,22.0,,,,10.3390/s22218503,,#2867,Biniyaz 2022,Exclusion reason: Insufficient safety impacts; Nataly Panczyk (2026-01-27 03:05:55)(Select): Main focus was to reduce operational costs; ,""
A new method applied for explaining the landing patterns: Interpretability analysis of machine learning,"Xu, Datao; Zhou, Huiyu; Quan, Wenjing; Ugbolue, Ukadike Chris; Gusztav, Fekete; Gu, Yaodong",,2024,,,10.0,,,,10.1016/j.heliyon.2024.e26052,,#2879,Xu 2024,"Exclusion reason: No AI-based decision making, pure detection; Nataly Panczyk (2026-02-06 07:49:32)(Select): Not safety critical and not decision-making, just using explainable AI to analyze patient data; ",""
Machine learning-based automated fault detection and diagnostics in building systems,"Nelson, William; Dieckert, Christopher",,2024,,,17.0,,,,10.3390/en17020529,,#2883,Nelson 2024,Exclusion reason: Predictive Maintenance; Nataly Panczyk (2026-02-05 00:02:53)(Select): non safety critical and also no decision making and also predictive maintenance; ,""
Towards sustainable energy grids: a machine learning-based ensemble methods approach for outages estimation in extreme weather events,"Alhaddad, Ulaa; Basuhail, Abdullah; Khemakhem, Maher; Eassa, Fathy Elbouraey; Jambi, Kamal",,2023,,,15.0,,,,10.3390/su151612622,,#2904,Alhaddad 2023,Exclusion reason: Predictive Maintenance; ,""
A novel proposal in wind turbine blade failure detection: An integrated approach to energy efficiency and sustainability,"Abarca-Albores, Jordan; Cabrera, Danna Cristina Gutierrez; Salazar-Licea, Luis Antonio; Ruiz-Robles, Dante; Franco, Jesus Alejandro; Perea-Moreno, Alberto-Jesus; Munoz-Rodriguez, David; Hernandez-Escobedo, Quetzalcoatl",,2024,,,14.0,,,,10.3390/app14178090,,#2909,Abarca-Albores 2024,Exclusion reason: Insufficient discussion of failure modes; Nataly Panczyk (2026-01-22 07:39:46)(Select): Insufficient discussion of failure modes; ,Renewable
A new approach to detect driver distraction to ensure traffic safety and prevent traffic accidents: Image processing and MCDM,"Alemdar, Kadir Diler; Codur, Muhammed Yasin",,2024,,,16.0,,,,10.3390/su16177642,,#2924,Alemdar 2024,"Exclusion reason: No AI-based decision making, pure detection; ",""
A fragment-aware model for novel psychoactive substances analysis with uncertainty quantification,"Liu, Pengfei; Guo, Jing; Xie, Jun; Li, Liang; Tao, Jun",,2026,,,267.0,,,,10.1016/j.jpba.2025.117132,,#2935,Liu 2026,"Exclusion reason: No AI-based decision making, pure detection; Nataly Panczyk (2026-02-04 08:20:19)(Select): very cool paper but no decision making; ",""
ExAIRFC-GSDC: An advanced machine learning-based interpretable framework for accurate gas leakage detection and classification,"Lalithadevi, B.; Krishnaveni, S.",,2025,,,18.0,,,,10.1007/s44196-025-00742-6,,#2939,Lalithadevi 2025,"Exclusion reason: No AI-based decision making, pure detection; ",""
Medical device failure predictions through AI-driven analysis of multimodal maintenance records,"Abd Rahman, Noorul Husna; Hasikin, Khairunnisa; Abd Razak, Nasrul Anuar; Al-Ani, Ayman Khallel; Anni, D. Jerline Sheebha; Mohandas, Prabu",,2023,,,11.0,,,,10.1109/ACCESS.2023.3309671,,#2953,AbdRahman 2023,Exclusion reason: Predictive Maintenance; ,Medical Device
AI-driven decision support framework for preventing medical equipment failure and enhancing patient safety: a new perspective,"Alkhatib, Sara Awni; Katmah, Rateb; Kosaji, Doua; Afzal, Syed Usama Bin; Tariq, Muhammad Hamza; Simsekler, Mecit Can Emre; Ellahham, Samer",,2025,,,18.0,,,,10.2147/JMDH.S528612,,#2954,Alkhatib 2025,"Exclusion reason: Predictive Maintenance; Nataly Panczyk (2026-01-24 03:31:15)(Select): This is both predictive maintenance and a review paper, not an actual study.; ",""
Computer-vision-based decision support in surgical robotics,"Kumar, Suren; Krovi, Venkat N.; Singhal, Pankaj",,2015,,,32.0,,,,10.1109/MDAT.2015.2465135,,#2962,Kumar 2015,Exclusion reason: Too field-specific; ,""
